Datum;Zeit;Filiale;Kassennummer;Transaktionsnummer;Artikel;Menge;Aktion;Umsatz;sugar_per_hundert;Quantity [g];actual;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio M-Drink Past;1;0;01. Aug;5;1000;1;liter
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio M-Drink Past;2;0;03. Jun;5;1000;;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Alnatura Erdnussmus;1;0;02. Jul;6.2;250;;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio Forellenfilet;1;0;05. Feb;1;100;;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio Chämischinken;0.127;0;7;1;127;;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio Pleurotus 150g;1;01. Jul;01. Jul;0;150;;
05.09.17;17:03:40;M Alnat. Oerlikon Bauhof;301;3852;Bio Datteltomaten 250g;1;0;04. Mai;3;250;;
22.09.17;10:25:03;M Hauptbahnhof;303;2377;Subito Pasta funghi;1;0;02. Jun;3.5;160;;
22.09.17;10:25:03;M Hauptbahnhof;303;2377;Sandwich Ei;1;0;04. Sep;1.5;165;;
22.09.17;10:25:03;M Hauptbahnhof;303;2377;Buttergipfel Spezial;1;0;0.85;4.1;45;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Ice Tea Zitrone 50cl;1;0;0.9;8;500;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Sun Queen Ananas;1;0;01. Mai;12;270;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Bio M-Drink Past;1;0;01. Aug;5;1000;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Bio M-Drink Past;1;0;01. Aug;5;1000;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Bio Blävita Dinkel;1;0;Mär 75;1.5;228;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Oliven Andalusien;1;0;Feb 35;0;150;;
05.10.17;13:50:39;M Rigiplatz;302;5245;MClass Trutenbrust;1;0;04. Sep;1;135;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Alfredo Mozzarella;1;0;Jan 45;1.5;150;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Alfredo Mozzarella;1;0;Jan 45;1.5;150;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Bio Möckli;0.058;0;04. Jun;1;58;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Bauernspeck;0.252;0;08. Mär;0;252;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Champignons braun;0.138;0;Jan 65;0.3;138;;
05.10.17;13:50:39;M Rigiplatz;302;5245;Mango;1;0.9;01. Jul;13;900;;
11.12.17;18:06:37;M Alnat. Oerlikon Bauhof;302;1821;Alnatura Reisdrink 1l;1;0;02. Jan;7.4;1000;;
11.12.17;18:06:37;M Alnat. Oerlikon Bauhof;302;1821;Alnatura Reisdrink 1l;1;0;02. Jan;7.4;1000;;
11.12.17;18:06:37;M Alnat. Oerlikon Bauhof;302;1821;Bio Hackspinat 500g;1;0;03. Apr;0;500;;
11.12.17;18:06:37;M Alnat. Oerlikon Bauhof;302;1821;Bio Prosciutto cotto;1;0;07. Mai;1;120;;
11.12.17;18:06:37;M Alnat. Oerlikon Bauhof;302;1821;Alnatura Mais Waffeln;1;0;0.95;0.5;110;;
13.12.17;15:04:32;M Rigiplatz;303;7223;Rivella Blau 50cl;1;0;Jan 35;1.5;500;;
13.12.17;15:04:32;M Rigiplatz;303;7223;Kinder Schokolade;1;0;Jan 25;53.3;100;;
13.12.17;15:04:32;M Rigiplatz;303;7223;Red Band sweet mushr.;1;0;01. Aug;67;100;;
27.01.18;17:15:59;M EPFL;305;284;Rivella bleu 1.5l;1;0;02. Apr;1.5;1500;;
27.01.18;17:15:59;M EPFL;305;284;Coca Cola 1.5L;1;0;Jan 95;10.6;1500;;
27.01.18;17:15:59;M EPFL;305;284;Alnatura jus pommes;1;0;01. Mai;6.7;500;;
27.01.18;17:15:59;M EPFL;305;284;Petit Beurre choc.lait;1;0;02. Mai;37;150;;
27.01.18;17:15:59;M EPFL;305;284;Mandelplätzli;1;0;03. Aug;41;103;;
27.01.18;17:15:59;M EPFL;305;284;MBud Piemont;1;0;01. Jul;47;100;;
27.01.18;17:15:59;M EPFL;305;284;Giandor 100g;1;0;Feb 25;46;100;;
27.01.18;17:15:59;M EPFL;305;284;Red Band sweet mushr.;1;0;01. Aug;67;100;;
27.01.18;17:15:59;M EPFL;305;284;Kinder Schokolade;1;0;Jan 35;53.3;100;;
27.01.18;17:15:59;M EPFL;305;284;Zweifel paprika;1;0;05. Jul;9;280;;